index,movieId,title,genres,year,imdblinks,tmdbId,image
0,1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995,https://www.imdb.com/title/tt0114709/,862,https://image.tmdb.org/t/p/w500//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
1,2,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']",1995,https://www.imdb.com/title/tt0113497/,8844,https://image.tmdb.org/t/p/w500//z46R8oShx61gXMrAmd7ptpVqNI0.jpg
2,3,Grumpier Old Men (1995),"['Comedy', 'Romance']",1995,https://www.imdb.com/title/tt0113228/,15602,https://image.tmdb.org/t/p/w500//dMTBXJv5Fer5KJYRek317TmGOA0.jpg
3,4,Waiting to Exhale (1995),"['Comedy', 'Drama', 'Romance']",1995,https://www.imdb.com/title/tt0114885/,31357,https://image.tmdb.org/t/p/w500//4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
4,5,Father of the Bride Part II (1995),['Comedy'],1995,https://www.imdb.com/title/tt0113041/,11862,https://image.tmdb.org/t/p/w500//rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
5,6,Heat (1995),"['Action', 'Crime', 'Thriller']",1995,https://www.imdb.com/title/tt0113277/,949,https://image.tmdb.org/t/p/w500//obpPQskaVpSiC9RcJRB6iWDTCXS.jpg
6,7,Sabrina (1995),"['Comedy', 'Romance']",1995,https://www.imdb.com/title/tt0114319/,11860,https://image.tmdb.org/t/p/w500//z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
7,8,Tom and Huck (1995),"['Adventure', 'Children']",1995,https://www.imdb.com/title/tt0112302/,45325,https://image.tmdb.org/t/p/w500//vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
8,9,Sudden Death (1995),['Action'],1995,https://www.imdb.com/title/tt0114576/,9091,https://image.tmdb.org/t/p/w500//1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
9,10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",1995,https://www.imdb.com/title/tt0113189/,710,https://image.tmdb.org/t/p/w500//bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg
10,11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",1995,https://www.imdb.com/title/tt0112346/,9087,https://image.tmdb.org/t/p/w500//yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
11,12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",1995,https://www.imdb.com/title/tt0112896/,12110,https://image.tmdb.org/t/p/w500//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
12,13,Balto (1995),"['Adventure', 'Animation', 'Children']",1995,https://www.imdb.com/title/tt0112453/,21032,https://image.tmdb.org/t/p/w500//dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
13,14,Nixon (1995),['Drama'],1995,https://www.imdb.com/title/tt0113987/,10858,https://image.tmdb.org/t/p/w500//ORlTkdDwWU94O16MlwfIR4g5Hk.jpg
14,15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",1995,https://www.imdb.com/title/tt0112760/,1408,https://image.tmdb.org/t/p/w500//hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
15,16,Casino (1995),"['Crime', 'Drama']",1995,https://www.imdb.com/title/tt0112641/,524,https://image.tmdb.org/t/p/w500//znekQtDwXQrll2XYZqXOxncCgLd.jpg
16,17,Sense and Sensibility (1995),"['Drama', 'Romance']",1995,https://www.imdb.com/title/tt0114388/,4584,https://image.tmdb.org/t/p/w500//cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
17,18,Four Rooms (1995),['Comedy'],1995,https://www.imdb.com/title/tt0113101/,5,https://image.tmdb.org/t/p/w500//75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
18,19,Ace Ventura: When Nature Calls (1995),['Comedy'],1995,https://www.imdb.com/title/tt0112281/,9273,https://image.tmdb.org/t/p/w500//wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
19,20,Money Train (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995,https://www.imdb.com/title/tt0113845/,11517,https://image.tmdb.org/t/p/w500//jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
20,21,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']",1995,https://www.imdb.com/title/tt0113161/,8012,https://image.tmdb.org/t/p/w500//r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
21,22,Copycat (1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995,https://www.imdb.com/title/tt0112722/,1710,https://image.tmdb.org/t/p/w500//lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg
22,23,Assassins (1995),"['Action', 'Crime', 'Thriller']",1995,https://www.imdb.com/title/tt0112401/,9691,https://image.tmdb.org/t/p/w500//wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg
23,24,Powder (1995),"['Drama', 'Sci-Fi']",1995,https://www.imdb.com/title/tt0114168/,12665,https://image.tmdb.org/t/p/w500//kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
24,25,Leaving Las Vegas (1995),"['Drama', 'Romance']",1995,https://www.imdb.com/title/tt0113627/,451,https://image.tmdb.org/t/p/w500//nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg
25,26,Othello (1995),['Drama'],1995,https://www.imdb.com/title/tt0114057/,16420,https://image.tmdb.org/t/p/w500//nNP3FDHUIyztw5eq5AejZKzqXbz.jpg
26,27,Now and Then (1995),"['Children', 'Drama']",1995,https://www.imdb.com/title/tt0114011/,9263,https://image.tmdb.org/t/p/w500//5nkAaadxFzzYfFyN3Q5j4VZKRsA.jpg
27,28,Persuasion (1995),"['Drama', 'Romance']",1995,https://www.imdb.com/title/tt0114117/,17015,https://image.tmdb.org/t/p/w500//10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995,https://www.imdb.com/title/tt0112682/,902,https://image.tmdb.org/t/p/w500//whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['Crime', 'Drama']",1995,https://www.imdb.com/title/tt0115012/,37557,https://image.tmdb.org/t/p/w500//tzG1UxUSfPACREjgBrsPDRUvneH.jpg
30,31,Dangerous Minds (1995),['Drama'],1995,https://www.imdb.com/title/tt0112792/,9909,https://image.tmdb.org/t/p/w500//yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['Mystery', 'Sci-Fi', 'Thriller']",1995,https://www.imdb.com/title/tt0114746/,63,https://image.tmdb.org/t/p/w500//gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
33,34,Babe (1995),"['Children', 'Drama']",1995,https://www.imdb.com/title/tt0112431/,9598,https://image.tmdb.org/t/p/w500//zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
34,35,Carrington (1995),"['Drama', 'Romance']",1995,https://www.imdb.com/title/tt0112637/,47018,https://image.tmdb.org/t/p/w500//8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg
35,36,Dead Man Walking (1995),"['Crime', 'Drama']",1995,https://www.imdb.com/title/tt0112818/,687,https://image.tmdb.org/t/p/w500//wQmmJi5ypfHH2boXrQBmsep7qb2.jpg
36,37,Across the Sea of Time (1995),"['Documentary', 'IMAX']",1995,https://www.imdb.com/title/tt0112286/,139405,https://i5.walmartimages.com/asr/4add4de6-7b92-4846-8316-b7a0cbec4dc7_1.8e2f7305081b9284e56d112fe146dc90.png
37,38,It Takes Two (1995),"['Children', 'Comedy']",1995,https://www.imdb.com/title/tt0113442/,33689,https://image.tmdb.org/t/p/w500//sdes5TrRbymELYLG85YIxmFb1OP.jpg
38,39,Clueless (1995),"['Comedy', 'Romance']",1995,https://www.imdb.com/title/tt0112697/,9603,https://image.tmdb.org/t/p/w500//71RW4lkES2Dt7vSLSXvekGYNskG.jpg
39,40,"Cry, the Beloved Country (1995)",['Drama'],1995,https://www.imdb.com/title/tt0112749/,34615,https://image.tmdb.org/t/p/w500//kGPsBswFOCjiGzXq4OZwzEAAODa.jpg
40,41,Richard III (1995),"['Drama', 'War']",1995,https://www.imdb.com/title/tt0114279/,31174,https://image.tmdb.org/t/p/w500//aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg
41,42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",1995,https://www.imdb.com/title/tt0112819/,11443,https://image.tmdb.org/t/p/w500//eGfsSXizR11tTHVo0kuOOFPAxZt.jpg
42,43,Restoration (1995),['Drama'],1995,https://www.imdb.com/title/tt0114272/,35196,https://image.tmdb.org/t/p/w500//z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
43,44,Mortal Kombat (1995),"['Action', 'Adventure', 'Fantasy']",1995,https://www.imdb.com/title/tt0113855/,9312,https://image.tmdb.org/t/p/w500//fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
44,45,To Die For (1995),"['Comedy', 'Drama', 'Thriller']",1995,https://www.imdb.com/title/tt0114681/,577,https://image.tmdb.org/t/p/w500//aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
45,46,How to Make an American Quilt (1995),"['Drama', 'Romance']",1995,https://www.imdb.com/title/tt0113347/,11861,https://image.tmdb.org/t/p/w500//vwYRaERccwXWCYrTzeWRZRarJOo.jpg
46,47,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']",1995,https://www.imdb.com/title/tt0114369/,807,https://image.tmdb.org/t/p/w500//69Sns8WoET6CfaYlIkHbla4l7nC.jpg
47,48,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995,https://www.imdb.com/title/tt0114148/,10530,https://image.tmdb.org/t/p/w500//kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
48,49,When Night Is Falling (1995),"['Drama', 'Romance']",1995,https://www.imdb.com/title/tt0114916/,8391,https://image.tmdb.org/t/p/w500//f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg
49,50,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']",1995,https://www.imdb.com/title/tt0114814/,629,https://image.tmdb.org/t/p/w500//bUPmtQzrRhzqYySeiMpv7GurAfm.jpg
51,52,Mighty Aphrodite (1995),"['Comedy', 'Drama', 'Romance']",1995,https://www.imdb.com/title/tt0113819/,11448,https://image.tmdb.org/t/p/w500//cm0oPKizOQlsXpGYvrHvpELfxdi.jpg
52,53,Lamerica (1994),"['Adventure', 'Drama']",1994,https://www.imdb.com/title/tt0110299/,49133,https://image.tmdb.org/t/p/w500//nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg
53,54,"Big Green, The (1995)","['Children', 'Comedy']",1995,https://www.imdb.com/title/tt0112499/,26441,https://image.tmdb.org/t/p/w500//nVHqIuBTcTLmAIrML7T704UwfNI.jpg
54,55,Georgia (1995),['Drama'],1995,https://www.imdb.com/title/tt0113158/,97406,https://image.tmdb.org/t/p/w500//uXjfK404xo7SiVlFcAoRyaFqXR4.jpg
56,57,Home for the Holidays (1995),['Drama'],1995,https://www.imdb.com/title/tt0113321/,9089,https://image.tmdb.org/t/p/w500//a8MslR6deQQVe8JR542XDSwHiPB.jpg
57,58,"Postman, The (Postino, Il) (1994)","['Comedy', 'Drama', 'Romance']",1994,https://www.imdb.com/title/tt0110877/,11010,https://image.tmdb.org/t/p/w500//cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
58,59,"Confessional, The (Confessionnal, Le) (1995)","['Drama', 'Mystery']",1995,https://www.imdb.com/title/tt0112714/,99040,https://image.tmdb.org/t/p/w500//9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg
59,60,"Indian in the Cupboard, The (1995)","['Adventure', 'Children', 'Fantasy']",1995,https://www.imdb.com/title/tt0113419/,11359,https://image.tmdb.org/t/p/w500//ozQAmW85tTJu2dhRe3evzyY03Nb.jpg
60,61,Eye for an Eye (1996),"['Drama', 'Thriller']",1996,https://www.imdb.com/title/tt0116260/,17182,https://image.tmdb.org/t/p/w500//y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
61,62,Mr. Holland's Opus (1995),['Drama'],1995,https://www.imdb.com/title/tt0113862/,2054,https://image.tmdb.org/t/p/w500//kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['Comedy', 'Crime']",1996,https://www.imdb.com/title/tt0116126/,10607,https://image.tmdb.org/t/p/w500//HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg
